LatinName,FeastCode,EnglishName,Date
Septem Fratrum,14071000,"Seven Brothers, Martyrs",Jul.10
Oct.Visitatio Mariae,14070900,Octave of Visitation of Mary,Jul.9
Kiliani et Soc.,14070810,"Kilian and Companions, Martyrs",Jul.8
"Martialis, Apost.",14070800,"Martial, ""Apostle"" of Limoges",Jul.8
Transl. Thomae Cant.,14070710,Moving of Thomas Becket's Relics,Jul.7
Willibaldi,14070700,"Willibald, Bishop",Jul.7
Octava Martialis,14070630,Octave of Martial,Jul.6
Transl. Gudulae,14070620,Moving of Gudula's relics,Jul.6
Goaris,14070610,"Goar, Hermit",Jul.6
"Oct. Apostolorum,8",14070608,In week after Octave of Peter and Paul,
Octava Apostolorum,14070600,Octave of Peter and Paul,Jul.6
Udalrici,14070420,"Ulric (Udalricus), Bishop of Augsburg",Jul.4
Decoll. Antonini,14070410,Beheading of Antoninus,Jul.4
Transl. Martini,14070400,Moving of Martin's relics,Jul.4
"Mustiolae, Irenaei",14070310,"Mustiola and Irenaeus, Martyrs",Jul.3
Transl. Thomae,14070300,Moving of Thomas's relics,Jul.3
"Processi, Martiniani",14070210,"Processus and Martinian, Martyrs",Jul.2
"Visitatio Mariae,8",14070208,In week after Visitation of Mary,
Visitatio Mariae,14070200,Visitation of Mary,Jul.2
Octava Joannis Bapt.,14070100,Octave of John the Baptist,Jul.1
"Martialis, Epi.",14063010,"Martial, Bishop of Limoges",Jun.30
"Pauli,8",14063008,In week of Paul (Apostle),
Pauli,14063000,"Paul, Apostle",Jun.30
"Petri,8",14062918,In week of Peter (Apostle),
Petri,14062910,"Peter, Apostle",Jun.29
"Petri, Pauli,8",14062908,In week after Peter and Paul,
Dom. inf. Oct.Apost.,14062907,Sunday after Peter and Paul,
"Petri, Pauli",14062900,"Peter and Paul, Apostles",Jun.29
Vigilia Petri,14062820,Eve of Peter,Jun.28
"Vigilia Petri, Pauli",14062810,Eve of Peter and Paul,Jun.28
Leonis,14062800,"Leo the Great, Pope",Jun.28
Ladislai,14062700,"Ladislaus, King of Hungary",Jun.27
Baboleni,14062610,"Babolenus, Abbot",Jun.26
"Joannis, Pauli",14062600,"John and Paul, Martyrs",Jun.26
Transl. Lebuini,14062510,Moving of Liafwin's relics,Jun.25
Transl. Eligii,14062500,Moving of Eligius's relics,Jun.25
"Joannis Bapt.,8",14062408,In week after John the Baptist,
Dom. p. Jo. Bapt.,14062407,Sunday after John the Baptist,
Joannis Baptistae,14062400,John the Baptist,Jun.24
Octava Cyrici,14062310,Octave of Cyricus,Jun.23
Vig. Joannis Bapt.,14062300,Eve of John the Baptist,Jun.23
Acacii et Soc.,14062220,"Acacius and Companions, Martyrs",Jun.22
Transl. Lamberti,14062210,Moving of Lambert's relics,Jun.22
Paulini Nolansis,14062200,"Paulinus, Bishop of Nola",Jun.22
Leutfredi,14062110,"Leufred (Leufroy), Abbot",Jun.21
"Albini, Mart.",14062100,"Albinus (Alban) of Mainz, Martyr",Jun.21
Tr. Edwardi Mart.,14062010,Moving of Edward the Martyr's relics,Jun.20
"Georgii, Adalberti",14062000,"George and Adalbert, Martyrs",Jun.20
"Gervasii, Protasii",14061900,"Gervase and Protase, Martyrs",Jun.19
"Marci, Marcellini",14061800,"Mark and Marcellian, Martyrs",Jun.18
Transl. Aichardi,14061700,Moving of Aichardus's relics,Jun.17
"Cyrici,8",14061608,In week after Cyricus,
Cyrici,14061600,"Cyricus and Julitta, Martyrs",Jun.16
"Constantini, Peregr.",14061540,"Constantine and Peregrine, Bishops",Jun.15
Eadburgae,14061530,"Eadburga, Abbess at Winchester",Jun.15
Landelini,14061520,"Landelinus, Abbot",Jun.15
"Viti, Modesti",14061510,"Vitus, Modestus and Crescentia, Martyrs",Jun.15
Viti,14061500,"Vitus and Companions, Martyrs",Jun.15
"Basilii, Doct.",14061400,"Basil the Great, Doctor",Jun.14
Antonii Patavini,14061300,"Anthony of Padua, Doctor",Jun.13
Victorini,14061210,"Victorinus, Bishop of Assisi and Martyr",Jun.12
Basilidis et Soc.,14061200,"Basilides and Companions, Martyrs",Jun.12
Barnabae,14061100,"Barnabas, Apostle",Jun.11
Landerici,14061000,"Landericus (Landry), Bishop of Paris",Jun.10
"Primi, Feliciani",14060900,"Primus and Felician, Martyrs",Jun.9
Medardi,14060800,"Medard, Bishop of Vermandois",Jun.8
Transl. Wulstani,14060700,Moving of Wulfstan's relics,Jun.7
Bonifacii,14060500,"Boniface, Archbishop and Martyr",Jun.5
Erasmi,14060300,"Erasmus, Bishop and Martyr",Jun.3
"Marcellini, Petri",14060200,"Marcellinus and Peter, Martyrs",Jun.2
Ordinatio Oswaldi,14060100,Ordination of Oswald,Jun.1
Petronillae,14053110,"Petronilla, Virgin",May.31
Cantiorum,14053100,"Cantius, Cantianus & Cantianilla, Martyrs",May.31
Maximini,14052900,"Maximinus, Bishop of Trier",May.29
Carauni,14052810,"Caraunus, Deacon and Martyr",May.28
Germani Parisien.,14052800,"Germanus (Germain), Bishop of Paris",May.28
Ragnulfi,14052700,Ragnulf (Renon),May.27
Augustini Cant.,14052610,"Augustine (Austin), of Canterbury",May.26
Bedae,14052600,"The Venerable Bede, Doctor",May.26
Tres Mariae,14052520,"Mary, Mary Cleophae, Mary Salome",May.25
Urbani,14052510,"Urban I, Pope and Martyr",May.25
Zenobii,14052500,"Zenobius, Bishop of Florence",May.25
Dunstani,14051920,"Dunstan, Archbishop of Canterbury",May.19
"Pudentianae,Pudentis",14051910,"Pudentiana and Pudens, Martyrs",May.19
Hadulfi,14051900,"Hadulf, Abbot and Bishop of Arras",May.19
Transl. Syri,14051700,Moving of Syrus's relics,May.17
Euticii,14051500,"Euticius (Eutice, Euthycius), Martyr",May.15
Pontii,14051400,"Pontius, Martyr",May.14
Servatii,14051300,"Servais (Servatius), Bishop of Tongres",May.13
Transl. Mauritii,14051230,Moving of Maurice's relics,May.12
Subventio Martini,14051220,Hiding of Martin's relics,May.12
Pancratii et Soc.,14051210,"Pancras and Companions, Martyrs",May.12
Rictrudis,14051200,"Rictrudis, Widow",May.12
Gengulfi,14051110,"Gengoul (Gengulfus), Martyred Knight",May.11
Mamerti,14051100,"Mamertus, Bishop of Vienne",May.11
"Gordiani, Epimachi",14051000,"Gordian and Epimachus, Martyrs",May.10
Transl. Nicolai,14050900,Moving of Nicholas's relics,May.9
Wironi,14050840,"Wiro, ""Apostle"" of southern Netherlands",May.8
"Oct. Philippi,Jacobi",14050830,"Octave of Philip and James, Apostles",May.8
Victoris Mauri,14050810,"Victor Maurus, Martyr",May.8
Appar. Michaelis,14050800,Appearing of Michael the Archangel,May.8
Transl. Stephani,14050700,Moving of Stephen's rellics,May.7
Joannis Port. Lat.,14050600,John before the Latin Gate,May.6
Judae Quiriaci,14050420,"Judas Quiriacus (Cyriacus), Bishop",May.4
Godehardi,14050410,"Godehard (Gothard), Bishop of Hildesheim",May.4
Floriani,14050400,"Florian, Martyr",May.4
Helenae,14050330,"Helen, Finder of the True Cross",May.3
Juvenalis,14050320,"Juvenal, Bishop of Narni",May.3
Alexandri et Soc.,14050310,"Alexander and Eventius, Martyrs",May.3
"Inventio Crucis,8",14050308,In week after the Finding of the Cross,
Inventio Crucis,14050300,Finding of the Cross,May.3
Athanasii,14050200,"Athanasius, Archbishop of Alexandria",May.2
Transl. Walburgae,14050150,Moving of Walburga's relics,May.1
Sigismundi,14050140,"Sigismund, King of Burgundy, Martyr",May.1
Amatoris,14050130,"Amator (Amatre), Bishop of Auxerre",May.1
Orientii,14050120,"Orientius (Orens), Bishop",May.1
"Elev. Elis. Hung.,8",14050118,In week after Elizabeth's Elevation,
Elev. Elis. Hung.,14050110,Elevation of Elizabeth's relics,May.1
"Philippi, Jacobi,8",14050108,In week after Philip and James,
"Philippi, Jacobi",14050100,"Philip and James, Apostles",May.1
Eutropii,14043010,"Eutropius, Bishop of Saintes, Martyr",Apr.30
Octava Georgii,14043000,Octave of George,Apr.30
"Petri, Mart.",14042900,"Peter the Martyr, Dominican Friar and Priest",Apr.29
Transl. Petri Alcan.,14042810,Moving of Peter of Alcantara's Relics,Apr.28
"Vitalis, Valeriae",14042800,"Vitalis and Valeria, Martyrs",Apr.28
Marci,14042500,"Mark, Evangelist",Apr.25
Ivonis,14042410,"Ivo, ""Bishop of Persia""",Apr.24
Egberti,14042400,"Egbert of Iona, Bishop",Apr.24
Georgii,14042300,"George, Martyr",Apr.23
Opportunae,14042210,"Opportuna, Virgin and Abbess",Apr.22
Inventio Dionysii,14042200,Finding of Denis's relics,Apr.22
"Leonis, Pont.",14041900,"Leo IX, Pope",Apr.19
"Tiburtii, Valeriani",14041400,"Tiburtius, Valerian and Maximus, Martyrs",Apr.14
Guthlaci,14041100,"Guthlac, Hermit of Croyland",Apr.11
Hugonis TP,14040980,"Hugo, Eastertide",Apr.9
Hugonis,14040910,"Hugo (Hugh), Abbot of Jumièges & Archbishop of Rouen",Apr.9
Waldetrudis,14040900,"Waldetrudis (Waudru), Widow",Apr.9
Ambrosii TP,14040480,"Ambrose, Eastertide",Apr.4
Ambrosii,14040400,"Ambrose, Bishop of Milan, Doctor",Apr.4
Mariae Aegyptiacae,14040200,"Mary the Egyptian, Penitent",Apr.2
Annuntiatio TP,14032580,"Annunciation of Mary, Eastertide",Mar.25
"Annuntiatio Mariae,8",14032508,In week after Annunciation of Mary,
Annuntiatio Mariae,14032500,Annunciation of Mary (Lady Day),Mar.25
Benedicti TP,14032180,"Benedict, Eastertide",Mar.21
"Benedicti,8",14032108,In week after Benedict,
Benedicti,14032100,"Benedict, Abbot",Mar.21
Cuthberti,14032000,"Cuthbert, Bishop of Lindisfarne",Mar.20
Gertrudis,14031700,"Gertrude of Nivelles, Virgin",Mar.17
"Helari, Tatiani",14031600,"Hilary (Bishop of Aquileia) and Tatianus, Martyrs",Mar.16
Gregorii,14031200,"Gregory the Great, Pope and Doctor",Mar.12
Vindiciani,14031100,"Vindician, Bishop of Cambrai",Mar.11
Quadrag. Martyrorum,14030900,Forty Martyrs of Sebaste,Mar.9
"Perpetuae, Felicit.",14030600,"Perpetua and Felicity, Martyrs",Mar.6
Kunegundis,14030300,"Cunegund (Kunegunde), Queen",Mar.3
David,14030110,"David of Wales, Monk and Bishop",Mar.1
"Albini, Epi.",14030100,"Albinus (Aubin), Bishop of Angers",Mar.1
"Oswaldi, Epi.",14022800,"Oswald, Bishop of Worcester",Feb.28
Walburgae,14022500,"Walburga, Virgin Abbess",Feb.25
Matthiae,14022400,"Matthias, Apostle",Feb.24
Milburgae,14022300,"Milburga, Abbess of Wenlock",Feb.23
Cathedra Petri,14022200,Peter's Chair,Feb.22
Julianae,14021600,"Juliana, Virgin Martyr",Feb.16
"Faustini, Jovitae",14021500,"Faustinus and Jovita, Martyrs",Feb.15
Valentini,14021400,"S. Valentine, Martyr",Feb.14
Octava Amandi,14021310,Octave of Amand,Feb.13
Octava Vedasti,14021300,Octave of Vaast,Feb.13
Modesti,14021210,"Modestus, Martyr",Feb.12
Octava Blasii,14021010,Octave of Blaise,Feb.10
Scholasticae,14021000,"Scholastica, Virgin",Feb.10
Amandi,14020620,"Amand (Amandus), Bishop",Feb.6
Dorotheae,14020610,"Dorothy, Virgin Martyr",Feb.6
"Vedasti,8",14020608,In week after Vaast,
Dom. p. Vedasti,14020607,Sunday after Vaast,
Vedasti,14020600,"Vaast (Vedast), Bishop of Arras",Feb.6
"Agathae,8",14020508,In week after Agatha,
Agathae,14020500,"Agatha, Virgin Martyr",Feb.5
"Blasii,8",14020308,In week after Blaise,
Blasii,14020300,"Blaise, Bishop of Sebastea, Martyr",Feb.3
"Purificatio Mariae,8",14020208,In week after Purification of Mary,
Purificatio Mariae,14020200,Purification of Mary (Candlemas),Feb.2
Valerici,14020120,"Valericus, Hermit",Feb.1
Ignatii,14020110,"Ignatius, Bishop of Antioch, Martyr",Feb.1
Brigidae,14020100,"Brigid (Bride), Abbess",Feb.1
"Cyri, Joannis",14013100,"Cyrus and John, Martyrs",Jan.31
Balthildis,14013010,"Balthildis (Bathildis), Queen",Jan.30
Aldegundis,14013000,"Aldegundis, Virgin",Jan.30
Sulpicii Severi,14012910,"Sulpicius Severus, Bishop of Bourges",Jan.29
Valerii,14012900,"Valerius, Bishop of Saragossa",Jan.29
Octava Agnetis,14012800,Octave of Agnes,Jan.28
"Juliani, Epi.",14012710,"Julian, Bishop of Le Mans",Jan.27
Joannis Chrysostomi,14012700,"John Chrysostom, Doctor",Jan.27
Paulae,14012610,"Paula, Widow",Jan.26
Polycarpi,14012600,"Polycarp, Bishop of Smyrna, Martyr",Jan.26
Praejecti,14012510,"Praejectus (Prix), Bishop Martyr",Jan.25
Conversio Pauli,14012500,Conversion of Paul,Jan.25
Elevat. Auberti,14012410,Elevation of Aubertus's relics,Jan.24
Timothei,14012400,"Timothy, Disciple of Paul, Bishop",Jan.24
Emerentianae,14012300,"Emerentiana, Virgin Martyr",Jan.23
Anastasii,14012210,"Anastasius the Persian, Martyr",Jan.22
"Vincentii,8",14012208,In week after Vincent,
Vincentii,14012200,"Vincent of Saragossa, Martyr",Jan.22
Meginrati,14012110,"Meinrad, Hermit of Einsiedeln",Jan.21
"Agnetis,8",14012108,In week after Agnes,
Agnetis,14012100,"Agnes, Virgin Martyr",Jan.21
"Fabiani, Sebastiani",14012000,"Pope Fabian and Sebastian, Martyrs",Jan.20
Launomari,14011930,"Launomarus, Abbot of Corbie",Jan.19
"Wulstani,8",14011928,In week after Wulfstan,
Wulstani,14011920,"Wulfstan, Bishop of Worcester",Jan.19
Transl. Hugonis,14011910,Moving of Hugo's relics,Jan.19
"Marii, Marthae",14011900,"Marius, Martha, et al., Martyrs",Jan.19
"Aquilae, Priscae",14011810,"Aquila and Prisca, Virgin Martyrs",Jan.18
Priscae,14011800,"Prisca, Virgin Martyr",Jan.18
Speusippi,14011720,"Speusippus and Meleusippus, Martyrs",Jan.17
Sabini,14011710,"Sabinus, Bishop of Piacenza",Jan.17
Antonii,14011700,"Antony, Abbot",Jan.17
Fursei,14011610,"Fursey, Abbot",Jan.16
Marcelli,14011600,"Marcellus I, Pope and Martyr",Jan.16
Macarii,14011530,"Macarius the Elder, Hermit",Jan.15
Inventio Firmini,14011520,Finding of Firminus's relics,Jan.15
"Mauri,8",14011518,In week after Maurus,
Mauri,14011510,"Maurus, Abbot",Jan.15
Pauli Heremitae,14011500,Paul the Hermit,Jan.15
Pontiani,14011420,"Pontianus, Martyr at Spoleto",Jan.14
Felicis Nolani,14011410,"Felix of Nola, Confessor",Jan.14
Hilarii,14011400,"Hilary, Bishop of Poitiers, Doctor",Jan.14
Willelmi,14011000,"William, Archbishop of Bourges",Jan.10
"Celsi, Juliani",14010900,"Celsus and Julian, Martyrs",Jan.9
Gudulae,14010810,"Gudula, Virgin",Jan.8
Wulsini,14010800,"Wulsin, Bishop of Sherborne",Jan.8
"Valentini, Epi.",14010700,"Valentine, Bishop",Jan.7
Exceptio Marcelli,14010540,Reception of the Relics of Pope Marcellus I at Cluny,Jan.5
"Severini, Apost.",14010530,"Severinus, ""Apostle"" of Noricum",Jan.5
"Edwardi, Conf.",14010520,"Edward the Confessor, King of England",Jan.5
Octava Thomae Cant.,14010510,"Octave of Thomas Becket, Bishop of Canterbury",Jan.5
Simeonis Stylitae,14010500,Simeon the Stylite,Jan.5
Genovefae,14010300,"Genevieve (Genovefa), Virgin",Jan.3
Basilii,14010200,"Basil of Ancyra, Martyr",Jan.2
Commendat. Animae,13002000,Chants for the commendation of souls,
Pro Defunctis,13001000,Office for the Dead,
De Plur. Sanctis TP,12815100,"Common of several Saints, Eastertide",
De Sanctis TP,12815000,"Common of Saints, Eastertide",
Comm. Virginum TP,12806000,"Common of several Virgins, Eastertide",
Conf. non Pont. TP,12805200,"Common of Confessors (not Popes), Eastertide",
Comm. pl. Conf. TP,12805000,"Common of several Confessors, Eastertide",
Comm. un. Conf. TP,12804000,"Common of one Confessor, Eastertide",
Comm. pl. Mart. TP,12803000,"Common of many Martyrs, Eastertide",
Mart. sive Conf. TP,12802300,"Common of Martyrs or Confessors, Eastertide",
Comm. un. Mart. TP,12802000,"Common of one Martyr, Eastertide",
Apost. sive Mart. TP,12801100,"Common of Apostles, Martyrs, Eastertide",
Comm. Apostolorum TP,12801000,"Common of Apostles, Eastertide",
De Sanctis,12015000,Memorial chants for Saints,
De Patronis,12014000,Memorial chants for Patrons,
De Angelis,12013000,Memorial chants for Angels,
Comm. Conjungium,12012000,Common of Matrons,
Comm. Evangelistarum,12011000,Common of Evangelists,
Comm. unius Abbatis,12010000,Common of one Abbot,
Commune Regum,12009000,Common of Kings,
Oct. Dedicat. Eccl.,12008100,Octave of Dedication of Church,
"In Dedicat. Eccl.,8",12008008,In week after Dedication of Church,
Dom. p. Ded. Eccl.,12008007,Sunday after Dedication of a Church,
In Dedicatione Eccl.,12008000,Dedication of a Church,
Comm. un.Vir.non Mart.,12007200,Common of one Virgin (not Martyr),
Comm. unius Virg.,12007100,Common of one Virgin,
Comm. Virg. Mart.,12006100,Common of Virgin Martyrs,
Comm. Virginum,12006000,Common of several Virgins,
Comm.pl.Con.non Pon.,12005200,Common of several Confessors (not Popes),
Comm. pl. Conf.Pont.,12005100,Common of several Confessors (Popes),
Comm. plur. Conf.,12005000,Common of several Confessors,
Comm.un.Con.non Pon.,12004700,Common of one Confessor (not Pope),
Comm. un.Con.non Sac.,12004600,Common of one Confessor (not Priest),
Comm. un. Conf.Doct.,12004500,Common of one Confessor (Doctor),
Comm. un.Con.non Epi.,12004400,Common of one Confessor (not Bishop),
"Comm.un.Conf.Epi.,8",12004308,"Common of one Confessor (Bishop), in week of",
Comm. un. Conf.Epi.,12004300,Common of one Confessor (Bishop),
Comm. un. Conf.Abb.,12004200,Common of one Confessor (Abbot),
Comm. un. Conf.Pont.,12004100,Common of one Confessor (Pope),
Comm. unius Conf.,12004000,Common of one Confessor,
"Comm. plur. Mart.,8",12003008,"Common of several Martyrs, in week of",
Comm. plur. Mart.,12003000,Common of several Martyrs,
Comm. un.Mar.non Pon.,12002200,Common of one Martyr (not Pope),
Comm. un. Mart.Pont.,12002100,Common of one Martyr (Pope),
Comm. unius Mart.,12002000,Common of one Martyr,
Comm. duo. Apost.,12001200,Common of two Apostles,
Comm. unius Apost.,12001100,Common of one Apostle,
"Comm. Apostolorum,8",12001008,"Common of Apostles, in week of",
Comm. Apostolorum,12001000,Common of Apostles,
Commune BMV,12000000,Common chants for Mary,
Dom. mensis Nov.,11110100,Sundays in November,
Dom. mensis Octobris,11100100,Sundays in October,
Sabbato Q.T. Sept.,11090709,"Ember Day, September (Saturday)",
Fer. 6 Q.T. Sept.,11090609,"Ember Day, September (Friday)",
Fer. 4 Q.T. Sept.,11090409,"Ember Day, September (Wednesday)",
Dom. mensis Sept.,11090100,Sundays in September,
Dom.2 mensis Augusti,11082100,Second Sunday in August,
Dom.1 mensis Augusti,11081100,First Sunday in August,
Dom. mensis Augusti,11080100,Sundays in August,
De Prophetis,10900000,"Summer Histories, from the Prophets",
De Machabaeis,10800000,"Summer Histories, from Maccabees",
De Esdras,10700000,"Summer Histories, from Esdras",
De Esther,10600000,"Summer Histories, from Esther",
De Judith,10500000,"Summer Histories, from Judith",
De Tobia,10400000,"Summer Histories, from Tobias",
Feria 3 de Job,10303000,"Summer Histories, from Job, for Tuesdays",
Feria 2 de Job,10302000,"Summer Histories, from Job, for Mondays",
De Job,10300000,"Summer Histories, from Job",
De Sapientia,10200000,"Summer Histories, from Wisdom",
Feria 2 de Regum,10102000,"Summer Histories, from Kings, for Mondays",
De Regum,10100000,"Summer Histories, from Kings",
Sabbato in estate,10007000,Saturdays in summer,
Feria 6 in estate,10006000,Fridays in summer,
Feria 5 in estate,10005000,Thursdays in summer,
Feria 4 in estate,10004000,Wednesdays in summer,
Feria 3 in estate,10003000,Tuesdays in summer,
Feria 2 in estate,10002000,Mondays in summer,
Dominica in estate,10001000,Sundays in summer,
In estate,10000000,"General, in summer",
Dom. 28 p. Pent.,9281000,28th Sunday after Pentecost,
Dom. 27 p. Pent.,9271000,27th Sunday after Pentecost,
Dom. 26 p. Pent.,9261000,26th Sunday after Pentecost,
Dom. 25 p. Pent.,9251000,25th Sunday after Pentecost,
Dom. 24 p. Pent.,9241000,24th Sunday after Pentecost,
Dom. 23 p. Pent.,9231000,23rd Sunday after Pentecost,
Dom. 22 p. Pent.,9221000,22nd Sunday after Pentecost,
Dom. 21 p. Pent.,9211000,21st Sunday after Pentecost,
Dom. 20 p. Pent.,9201000,20th Sunday after Pentecost,
Dom. 19 p. Pent.,9191000,19th Sunday after Pentecost,
Dom. 18 p. Pent.,9181000,18th Sunday after Pentecost,
Dom. 17 p. Pent.,9171000,17th Sunday after Pentecost,
Dom. 16 p. Pent.,9161000,16th Sunday after Pentecost,
Dom. 15 p. Pent.,9151000,15th Sunday after Pentecost,
Dom. 14 p. Pent.,9141000,14th Sunday after Pentecost,
Dom. 13 p. Pent.,9131000,13th Sunday after Pentecost,
Dom. 12 p. Pent.,9121000,12th Sunday after Pentecost,
Dom. 11 p. Pent.,9111000,11th Sunday after Pentecost,
Dom. 10 p. Pent.,9101000,10th Sunday after Pentecost,
Dom. 9 p. Pent.,9091000,9th Sunday after Pentecost,
Dom. 8 p. Pent.,9081000,8th Sunday after Pentecost,
Dom. 7 p. Pent.,9071000,7th Sunday after Pentecost,
Dom. 6 p. Pent.,9061000,6th Sunday after Pentecost,
Dom. 5 p. Pent.,9051000,5th Sunday after Pentecost,
Dom. 4 p. Pent.,9041000,4th Sunday after Pentecost,
Dom. 3 p. Pent.,9031000,3rd Sunday after Pentecost,
Sabb.p.Oct.Cor.Chri.,9027000,Saturday after Octave of Corpus Christi,
Oct.Corporis Christi,9025000,Octave of Corpus Christi,
Fer. 4 Cor. Christi,9024000,Wednesday after Corpus Christi,
Fer. 3 Cor. Christi,9023000,Tuesday after Corpus Christi,
Fer. 2 Cor. Christi,9022000,Monday after Corpus Christi,
Dom. p. Cor. Christi,9021010,Sunday after Corpus Christi,
"Dom. 2 p. Pent.,8",9021008,In 3rd week after Pentecost,
Dom. 2 p. Pent.,9021000,2nd Sunday after Pentecost (also Dom. 1 p. oct. Pent.),
Sabb. Cor. Christi,9017000,Saturday after Corpus Christi,
Fer. 6 Cor. Christi,9016000,Friday after Corpus Christi,
"Corporis Christi,8",9015008,In week after Corpus Christi,
Corporis Christi,9015000,Corpus Christi (Blessed Sacrament),
Fer. 4 Trinitate,9014000,Trinity Wednesday,
Fer. 3 Trinitate,9013000,Trinity Tuesday,
Dom. 1 p. Pent.,9011010,1st Sunday after Pentecost,
"De Trinitate,8",9011008,In the week after Trinity Sunday,
De Trinitate,9011000,Trinity Sunday,
Hebd. p. Pent.,9008000,Weekdays after Pentecost,
Dom. p. Pent.,9001000,Sundays after Pentecost,
Octava Pentecostes,8091000,Octave of Pentecost,
Sabbato Pent.,8087000,Pentecost Saturday,
Fer. 6 Pent.,8086000,Pentecost Friday,
Fer. 5 Pent.,8085000,Pentecost Thursday,
Fer. 4 Pent.,8084000,Pentecost Wednesday,
Fer. 3 Pent.,8083000,Pentecost Tuesday,
Fer. 2 Pent.,8082000,Pentecost Monday,
"Dom. Pentecostes,8",8081008,In week after Pentecost,
Dom. Pentecostes,8081000,Pentecost Sunday (Whitsunday),
Sabb. p. Oct. Asc.,8077100,"Saturday, week after Ascension",
Vigilia Pentecostes,8077000,Eve of Pentecost,
Fer. 6 p. Oct. Asc.,8076000,"Friday, week after Ascension",
Oct. Ascens. Domini,8075000,Octave of Ascension,
Fer. 4 p. Ascensio.,8074000,"Wednesday, week after Ascension",
Fer. 3 p. Ascensio.,8073000,"Tuesday, week after Ascension",
Fer. 2 p. Ascensio.,8072000,"Monday, week after Ascension",
Dom. p. Ascensionem,8071000,Sunday after Ascension,
In Letaniis,8068010,"General, Rogation Days",
Hebd. 6 p. Pascha,8068000,6th week after Easter,
Sabb. p. Ascensionem,8067000,Saturday after Ascension,
Fer. 6 p. Ascensio.,8066000,Friday after Ascension,
"Ascensio Domini,8",8065008,In week after Ascension,
Ascensio Domini,8065000,Ascension Thursday,
Fer. 4 in Letaniis,8064000,Rogation Wednesday,
Fer. 3 in Letaniis,8063000,Rogation Tuesday,
Fer. 2 in Letaniis,8062000,Rogation Monday,
Dom. 5 p. Pascha,8061000,5th Sunday after Easter,
Hebd. 5 p. Pascha,8058000,5th week after Easter,
Sabbato 5 p. Pascha,8057000,"Saturday, 6th week after Easter",
Fer. 6 Hebd. 5 Pasc.,8056000,"Friday, 5th week after Easter",
Fer. 5 Hebd. 5 Pasc.,8055000,"Thursday, 5th week after Easter",
Fer. 4 Hebd. 5 Pasc.,8054000,"Wednesday, 5th week after Easter",
Fer. 3 Hebd. 5 Pasc.,8053000,"Tuesday, 5th week after Easter",
Fer. 2 Hebd. 5 Pasc.,8052000,"Monday, 5th week after Easter",
"Dom. 4 p. Pascha,8",8051008,In 5th week after Easter,
Dom. 4 p. Pascha,8051000,4th Sunday after Easter,
Hebd. 4 p. Pascha,8048000,4th week after Easter,
Sabbato 4 p. Pascha,8047000,"Saturday, 4th week after Easter",
Compassio Mariae TP,8046010,"The Sorrows of Mary, celebrated Friday after third Sun. after Easter",
Fer. 6 Hebd. 4 Pasc.,8046000,"Friday, 4th week after Easter",
Fer. 5 Hebd. 4 Pasc.,8045000,"Thursday, 4th week after Easter",
Fer. 4 Hebd. 4 Pasc.,8044000,"Wednesday, 4th week after Easter",
Fer. 3 Hebd. 4 Pasc.,8043000,"Tuesday, 4th week after Easter",
Fer. 2 Hebd. 4 Pasc.,8042000,"Monday, 4th week after Easter",
"Dom. 3 p. Pascha,8",8041008,In 4th week after Easter,
Dom. 3 p. Pascha,8041000,3rd Sunday after Easter,
Hebd. 3 p. Pascha,8038000,3rd week after Easter,
Sabbato 3 p. Pascha,8037000,"Saturday, 3rd week after Easter",
Fer. 6 Hebd. 3 Pasc.,8036000,"Friday, 3rd week after Easter",
Fer. 5 Hebd. 3 Pasc.,8035000,"Thursday, 3rd week after Easter",
Fer. 4 Hebd. 3 Pasc.,8034000,"Wednesday, 3rd week after Easter",
Fer. 3 Hebd. 3 Pasc.,8033000,"Tuesday, 3rd week after Easter",
Fer. 2 Hebd. 3 Pasc.,8032000,"Monday, 3rd week after Easter",
"Dom. 2 p. Pascha,8",8031008,In 3rd week after Easter,
Dom. 2 p. Pascha,8031000,2nd Sunday after Easter,
Hebd. 2 p. Pascha,8028000,2nd week after Easter,
Sabb. p. Oct. Pasch.,8027000,"Saturday, 2nd week after Easter",
De Sancta Lancea,8026010,The Holy Lance; on the Friday after the Octave of Easter,
Fer. 6 p. Oct.Pasch.,8026000,"Friday, 2nd week after Easter",
Fer. 5 p. Oct.Pasch.,8025000,"Thursday, 2nd week after Easter",
Fer. 4 p. Oct.Pasch.,8024000,"Wednesday, 2nd week after Easter",
Fer. 3 p. Oct.Pasch.,8023000,"Tuesday, 2nd week after Easter",
Fer. 2 p. Oct.Pasch.,8022000,"Monday, 2nd week after Easter",
"Octava Paschae,8",8021008,In 2nd week after Easter,
Octava Paschae,8021000,Octave of Easter (also Dominica in Albis),
Pascha Annotinum,8020100,Memorial of past year's Easter,
Sabbato in Albis,8017000,Easter Saturday,
Fer. 6 p. Pascha,8016000,Easter Friday,
Fer. 5 p. Pascha,8015000,Easter Thursday,
Fer. 4 p. Pascha,8014000,Easter Wednesday,
Fer. 3 p. Pascha,8013000,Easter Tuesday,
Fer. 2 p. Pascha,8012000,Easter Monday,
"Dom. Resurrect.,8",8011008,In week after Easter Sunday,
Dom. Resurrectionis,8011000,Easter Sunday,
Hebd. TP,8008000,"Weekdays, Eastertide",
Sabbato TP,8007000,"Saturdays, Eastertide",
Feria 6 TP,8006000,"Fridays, Eastertide",
